,0,1,2,3
0,7.9265146,3.9661613,8.807171,2.9763527
1,7.941164,3.9638517,8.831014,2.9817529
2,7.9524956,3.9630446,8.847033,2.9854107
3,7.942309,3.9620657,8.825771,2.978556
4,7.8451376,3.95924,8.719043,2.9576817
5,7.9259486,3.959683,8.816515,2.9794078
6,7.8603096,3.9610815,8.734837,2.960487
7,7.823024,3.9709413,8.663063,2.9446588
8,7.866456,3.9734855,8.710716,2.9560022
9,7.8453064,3.9654877,8.700449,2.9519317
10,7.9306855,3.9633198,8.813053,2.9769216
11,7.8895125,3.9661422,8.753189,2.9627008
12,7.874222,3.9616117,8.748734,2.9622583
13,7.8636684,3.973327,8.706868,2.955163
14,7.911921,3.961092,8.7887125,2.9683852
15,7.919512,3.9624388,8.809495,2.9779773
16,7.9185066,3.9720674,8.761626,2.963489
17,7.8869123,3.968208,8.743063,2.961045
18,7.8988304,3.9631379,8.773807,2.9693205
19,7.8387313,3.964835,8.71361,2.9595585
20,7.889017,3.95956,8.773556,2.9708874
21,7.8863754,3.9659188,8.753,2.9628882
22,7.8715544,3.971894,8.718175,2.957269
23,7.8607187,3.9758666,8.687957,2.949586
24,7.9012604,3.9614012,8.788256,2.9738188
25,7.8909397,3.9636116,8.756586,2.9639368
26,7.8915496,3.9631128,8.764688,2.9649208
27,7.84418,3.9615564,8.712606,2.9560192
28,7.9051023,3.9634554,8.782948,2.9708405
29,7.8922176,3.9665427,8.760742,2.9653275
30,7.8216805,3.9717896,8.663368,2.9454634
31,7.8604016,3.9732065,8.702995,2.954092
32,7.926491,3.963915,8.814934,2.978722
33,7.8756022,3.9607506,8.754782,2.9640548
34,7.892374,3.9592915,8.777661,2.9687624
35,7.872987,3.969401,8.726572,2.9591908
36,7.902413,3.9601903,8.781086,2.9698467
37,7.850774,3.9658551,8.706247,2.9530537
38,7.8542213,3.9741278,8.691557,2.951739
39,7.8354077,3.9739857,8.675302,2.9482963
40,7.8840046,3.9687958,8.7497425,2.9642353
41,7.8747387,3.9750354,8.705973,2.953472
42,7.8651896,3.9565077,8.746248,2.9623942
43,7.888187,3.9663274,8.751519,2.962296
44,7.8379736,3.9778662,8.658769,2.9446702
45,7.890929,3.9616063,8.765045,2.9665592
46,7.8328667,3.9765728,8.659033,2.9451652
47,7.8964524,3.9701004,8.75279,2.9637325
48,7.9584846,3.9650807,8.84684,2.9846416
49,7.9559727,3.9620655,8.851166,2.9860144
50,7.8547416,3.9632604,8.73656,2.964671
51,7.866223,3.976921,8.691777,2.9506416
52,7.8654547,3.9686606,8.71725,2.9566722
53,7.9399796,3.9583638,8.844046,2.986597
54,7.8289123,3.9768655,8.652395,2.9434514
55,7.884664,3.961184,8.765522,2.9658628
56,7.8346686,3.9642212,8.694361,2.9511652
57,7.873954,3.9724686,8.718529,2.9571815
58,7.8499594,3.9637017,8.7167225,2.9563951
59,7.893675,3.96763,8.760707,2.9654772
60,7.8491488,3.9734755,8.692497,2.9520335
61,7.9182367,3.9686055,8.781176,2.9689364
62,7.890021,3.965162,8.768205,2.969313
63,7.9030647,3.9637532,8.7844715,2.9722824
64,7.9144926,3.96244,8.804888,2.977238
65,7.9442015,3.9664054,8.828923,2.9807425
66,7.90444,3.961139,8.791596,2.9736602
67,7.923328,3.965234,8.808717,2.9770079
68,7.853157,3.9592102,8.726326,2.9591212
69,7.8871346,3.9659388,8.750774,2.963641
70,7.8469057,3.9711103,8.6961975,2.9522595
71,7.848204,3.9756901,8.675402,2.947339
72,7.889079,3.9623442,8.761713,2.9660263
73,7.894862,3.9644272,8.764045,2.9650922
74,7.8345675,3.9745235,8.672067,2.9479368
75,7.8982077,3.957808,8.786565,2.9706888
76,7.9018936,3.9684691,8.768711,2.9667318
77,7.8955383,3.9706073,8.754282,2.9648829
78,7.8587065,3.9601398,8.734549,2.9604912
79,7.8688126,3.9716773,8.714557,2.9560282
80,7.8346725,3.9777803,8.6551485,2.9439511
81,7.8435755,3.9663267,8.702149,2.9530296
82,7.863896,3.9791274,8.677134,2.9464486
83,7.9133763,3.9618204,8.80488,2.9775195
84,7.841498,3.968069,8.696566,2.9519908
85,7.8663383,3.9686165,8.721964,2.9568982
86,7.8401084,3.964909,8.715408,2.9599555
87,7.873034,3.9666538,8.730063,2.958581
88,7.894245,3.964036,8.759697,2.9634252
89,7.932336,3.9596775,8.830838,2.98307
90,7.904899,3.9628665,8.776463,2.967446
91,7.8983445,3.9727962,8.740647,2.9604182
92,7.909811,3.9675276,8.78289,2.9698033
93,7.868336,3.9618585,8.755759,2.9689078
94,7.937604,3.9651775,8.824806,2.9799516
95,7.8518305,3.9587603,8.725241,2.95825
96,7.848776,3.9741158,8.683517,2.949757
97,7.868586,3.9714892,8.720137,2.9576867
98,7.8282843,3.9730306,8.660977,2.944632
99,7.8408194,3.9669993,8.6927395,2.9509983
100,7.846864,3.9740448,8.687201,2.9509897
101,7.9050827,3.9624505,8.788429,2.9736419
102,7.9201183,3.9690175,8.773533,2.965972
103,7.848265,3.9654994,8.702532,2.9522705
104,7.8940616,3.9647331,8.766494,2.9662523
105,7.907773,3.974441,8.744052,2.9602323
106,7.8937926,3.965712,8.756881,2.9640646
107,7.8737364,3.9707549,8.732563,2.9604726
108,7.921993,3.9676247,8.796976,2.9733844
109,7.822952,3.966794,8.690384,2.9544864
110,7.9033895,3.959203,8.783585,2.9688487
111,7.8241158,3.9669008,8.691437,2.9546418
112,7.901994,3.9581149,8.798893,2.9770617
113,7.9003716,3.9694455,8.755166,2.9635644
114,7.872098,3.969564,8.730049,2.959731
115,7.8393126,3.966325,8.687258,2.9485254
116,7.8681216,3.9616337,8.756398,2.9690359
117,7.8565836,3.9701762,8.702375,2.9539583
118,7.8547163,3.9631553,8.73726,2.9649007
119,7.9565477,3.9648337,8.845361,2.984391
120,7.912651,3.9680345,8.783695,2.9703946
121,7.898195,3.9568737,8.796347,2.977503
122,7.892908,3.97021,8.75375,2.9647284
123,7.917118,3.9702444,8.770798,2.966605
124,7.8477397,3.9738302,8.69,2.951703
125,7.880625,3.973222,8.722282,2.9572048
126,7.853956,3.9631171,8.736349,2.9647567
127,7.8320045,3.9752157,8.662239,2.9459367
128,7.849363,3.9676147,8.70648,2.95431
129,7.8963823,3.9641862,8.766129,2.965406
130,7.8995895,3.9635377,8.773696,2.9676304
131,7.8849144,3.9595997,8.76157,2.9640303
132,7.893239,3.97116,8.73675,2.9588308
133,7.8488755,3.9721491,8.694086,2.9518404
134,7.872383,3.9715981,8.718611,2.9574723
135,7.839125,3.964903,8.714115,2.9596467
136,7.8380337,3.9761837,8.666874,2.946679
137,7.8936224,3.9743104,8.735147,2.960043
138,7.920728,3.958039,8.822397,2.98219
139,7.8939233,3.969101,8.753925,2.9636035
140,7.927803,3.9582202,8.82306,2.9810357
141,7.869036,3.9617493,8.7566185,2.9690056
142,7.851379,3.9674432,8.707977,2.9544125
143,7.883486,3.9766219,8.709991,2.9540935
144,7.897378,3.9598882,8.789188,2.97461
145,7.9155827,3.9618523,8.807319,2.977889
146,7.896398,3.9715421,8.745356,2.9619071
147,7.8855543,3.966496,8.75956,2.967111
