id,hhb,hbo2,ca,na
10000,7.007473,3.4353385,8.611709,2.9425077
10001,6.803746,3.5169873,7.433869,2.244473
10002,8.283346,3.6184864,8.045149,2.8313828
10003,6.845964,3.5386205,9.045206,2.8384714
10004,6.4730067,3.5728233,8.367052,3.477642
10005,7.167361,3.4516778,8.096376,2.425354
10006,6.5866966,3.3617587,7.907513,2.2843463
10007,8.382818,3.9467962,8.739117,2.5370545
10008,6.404309,3.4878094,7.2955737,2.6952393
10009,7.235554,3.5675256,7.459862,2.435504
10010,5.8672366,2.7860534,8.425341,2.7912002
10011,6.258939,3.2466784,4.998232,3.019116
10012,7.072235,3.5929444,7.369163,2.5909114
10013,7.288556,3.4842122,7.9431353,2.389024
10014,7.746396,3.6492221,6.8950143,1.965558
10015,6.3809648,3.5088215,6.8385262,3.2227762
10016,7.4976225,3.4844432,7.9960327,2.610456
10017,7.5615005,3.597396,8.085265,2.2151709
10018,6.896484,3.4506454,7.8925653,2.404183
10019,6.796645,3.5690718,7.557436,2.050086
10020,7.0189505,3.4789636,7.7565565,2.7311037
10021,8.466619,3.8139582,8.778648,2.2392793
10022,7.5721807,3.6217165,7.8077435,2.5886877
10023,7.3251433,3.5791636,7.48417,2.3542602
10024,7.3707185,3.5610068,8.185434,2.8266864
10025,7.492867,3.3782063,7.0983605,3.0420847
10026,7.7529964,3.1875193,6.0704045,2.389412
10027,8.611854,4.0034456,9.068047,3.4794538
10028,6.4346256,3.5227513,8.074624,2.8873994
10029,6.6861053,3.2265005,7.063513,3.3710902
10030,7.7253656,3.5546823,7.97102,3.1228833
10031,7.079458,3.3673213,7.6522193,3.2251952
10032,7.1856165,3.3842053,7.521091,2.9957855
10033,7.062151,3.7019367,8.29203,2.6701834
10034,7.517191,3.6510117,8.59352,3.1736608
10035,5.167695,3.198339,6.7267284,2.2959943
10036,7.0520515,3.5644345,7.526697,3.0173123
10037,6.838904,3.6267433,7.3727326,2.2207632
10038,7.177374,3.531387,7.269367,2.9366238
10039,7.0620193,3.5146773,8.455917,2.9882448
10040,6.4721956,3.3091874,7.610354,2.787436
10041,6.7593274,3.508401,8.027182,3.1531901
10042,7.0614276,3.6534636,8.065596,2.3603806
10043,7.547483,3.6018436,8.1652775,3.0683372
10044,6.615681,3.7978137,8.544314,2.908374
10045,6.774066,3.561779,8.871379,3.006286
10046,5.833392,3.546934,8.509663,2.8628604
10047,6.385837,3.4082198,8.754038,2.8255224
10048,6.935322,3.293933,8.654047,2.6367314
10049,7.4568634,3.5903802,8.213319,2.7513196
10050,6.1405783,3.3989482,7.794033,1.8838533
10051,7.1019983,3.452305,7.4073873,2.6558142
10052,8.303621,3.630104,7.98001,2.7600265
10053,6.604867,3.648088,8.448309,2.5153213
10054,6.8570433,3.7533417,8.031321,2.646071
10055,5.556899,3.2971497,8.248907,3.3350332
10056,9.112378,4.4439945,9.058335,2.6323006
10057,7.452167,3.5708961,8.086374,2.317842
10058,7.309277,3.5955303,8.621835,3.1144204
10059,7.0815,3.305497,7.231207,3.6485023
10060,7.40185,3.3885777,7.787174,2.9056487
10061,6.000555,3.501432,7.52787,1.974736
10062,6.858449,3.471699,7.663153,3.353732
10063,8.582855,3.7155485,8.122814,3.0689847
10064,7.2557683,3.6169086,7.2503643,2.8747482
10065,7.184759,3.666654,7.871341,2.5105946
10066,7.119869,3.6676488,7.4321623,2.6965187
10067,8.375551,3.454264,6.6554875,2.6424615
10068,8.080124,3.5754483,8.99968,2.8603961
10069,7.326022,3.727726,8.012217,2.4556522
10070,6.5476136,3.574783,7.7950196,2.5975814
10071,4.4805927,3.5874162,9.0247965,3.4628747
10072,6.26307,3.320607,9.108129,3.0321643
10073,7.3459644,3.488178,7.93668,2.9523683
10074,7.8143396,3.459407,8.564142,3.3392773
10075,8.455525,3.803113,9.131442,1.9646169
10076,7.209685,3.600255,9.480754,2.016964
10077,7.211108,3.654597,8.942818,2.1878045
10078,7.238469,3.4407399,7.359521,3.3493395
10079,5.8763685,3.432307,8.625355,2.2176
10080,6.795289,3.520767,7.70151,2.5162385
10081,6.156794,3.4448159,7.3399935,2.0182486
10082,6.7531214,3.6190627,8.256227,2.8200345
10083,6.316418,3.4370115,8.594476,2.0351076
10084,6.3188653,3.3208046,7.2448854,3.4772553
10085,7.7156787,3.616915,6.2343335,4.046781
10086,8.525434,3.2596593,6.972887,2.7678134
10087,7.905474,3.6535296,6.2840586,3.0954235
10088,6.7443905,3.5145655,8.073496,2.9430873
10089,6.963732,3.4948351,7.3670497,2.3168535
10090,7.522135,3.5663576,7.81802,2.5158129
10091,3.4249046,3.0092776,7.2731433,2.2445524
10092,4.156801,3.0779967,8.32954,1.1668954
10093,4.431085,3.2708364,6.6238956,1.7417135
10094,5.6275463,3.2594795,6.3381853,1.926939
10095,6.8592367,3.486543,7.9513574,2.3269308
10096,5.845332,3.3394856,8.643912,2.493116
10097,6.7751784,3.5296013,7.619253,3.4334505
10098,9.793348,3.8053005,8.637835,2.6648457
10099,7.708938,3.5257423,8.3003025,2.5797775
10100,6.250069,3.5136495,7.468005,2.8070893
10101,5.943933,3.558983,8.817242,2.26338
10102,1.7203318,2.7981098,6.9961653,2.085534
10103,6.393465,3.5288367,8.304304,2.742604
10104,3.925548,3.1210313,6.7258134,0.86236334
10105,7.8670173,3.5799963,7.866005,2.550273
10106,7.228521,3.6365952,9.535767,2.9588895
10107,6.5909266,3.42043,7.2032948,1.9954456
10108,7.172014,3.5807729,7.6488953,2.578915
10109,6.752942,3.7063508,8.411537,3.0491261
10110,8.68907,3.8282864,9.235148,1.7408758
10111,7.9540377,3.8407054,7.7264295,2.866245
10112,8.343485,3.9124207,8.098812,3.0315425
10113,7.102312,3.5914078,8.135752,2.8238506
10114,5.9623914,3.3452122,7.067366,2.3793495
10115,7.1101804,3.5768356,6.7564716,2.8497171
10116,7.102351,3.3910625,6.4347897,2.205406
10117,5.9958954,3.4458163,8.704823,2.4218774
10118,7.195996,3.311617,7.049402,2.431034
10119,7.6250367,3.5078175,7.8290043,2.9160368
10120,5.846194,3.3420558,8.901423,2.5277057
10121,6.4333096,3.5119948,8.3566265,2.4893088
10122,6.5214,3.6689892,7.867321,2.2577767
10123,3.3351207,2.9079807,6.6025915,2.2913089
10124,6.8113203,3.500135,8.660441,2.7632296
10125,5.7601156,3.26584,6.4759126,4.0991926
10126,4.7688017,3.2678034,6.032989,2.480478
10127,5.846606,3.5851834,8.544482,2.9575405
10128,6.938394,3.7509074,7.6347995,2.6340723
10129,6.7653117,3.373915,8.759184,2.441547
10130,5.066245,3.2451603,7.5295854,2.9837534
10131,6.1034594,3.6437066,9.688225,2.1181908
10132,5.3767247,3.324525,8.177296,2.3724976
10133,7.5930214,3.6427307,7.897747,2.5680878
10134,7.127281,3.4598653,7.0360575,2.4084399
10135,6.6832213,3.3280206,7.088443,3.0480456
10136,9.442372,3.9103236,8.608622,2.7319696
10137,8.27401,3.6009498,7.345609,2.091083
10138,6.3921905,3.40311,7.5908794,2.845019
10139,8.022884,3.768335,8.52747,1.6971599
10140,5.736909,3.3332047,7.370675,2.3814979
10141,2.9572954,3.2040253,4.1494646,2.551602
10142,5.899297,3.4393437,6.8537645,2.7571452
10143,6.9573865,3.5453498,7.9207735,2.4702988
10144,6.4478807,3.4868944,8.222584,2.6702442
10145,6.2726045,3.5456376,8.351729,2.8803225
10146,7.311476,3.552909,8.054969,2.9332716
10147,7.7181845,3.5272322,7.582304,2.7940683
10148,5.670577,3.5046496,6.637978,2.9960496
10149,8.8091755,3.3684056,7.3256965,2.8942122
10150,7.6244087,3.4119608,7.756335,2.754254
10151,5.7504497,3.4058824,8.515671,2.3161
10152,5.827416,3.5199099,8.148859,2.2906814
10153,6.354637,3.234227,7.197417,2.478109
10154,7.056966,3.5688012,7.863651,2.6090918
10155,5.3922777,3.272322,7.6982775,2.1119452
10156,6.9643846,3.5708454,7.539713,2.6205952
10157,6.13836,3.5070696,8.056932,2.9506478
10158,5.4728656,3.3662696,8.390837,3.4940917
10159,6.979977,3.4095948,7.810836,2.1362605
10160,6.5828185,3.6109948,7.9584002,2.856118
10161,7.1358533,3.6136215,7.4983926,2.997827
10162,7.401829,3.8436356,8.211686,2.6585195
10163,6.919012,3.499231,7.732662,3.3768408
10164,6.9500303,3.6014585,7.992765,2.9044247
10165,6.4476542,3.414041,7.9454007,3.1934264
10166,8.10388,3.49082,7.756707,2.7601273
10167,8.408739,3.784186,8.922843,2.6629207
10168,7.3580537,3.7811973,6.993389,1.885997
10169,7.771561,3.5742424,7.5004525,2.7580538
10170,6.364569,3.4381595,8.552318,2.5663242
10171,8.750412,3.4872775,8.385712,2.7841494
10172,6.433056,3.5178404,8.228279,2.6051443
10173,6.5063515,3.572894,8.350303,2.3934164
10174,6.76868,3.406212,7.831552,2.4765215
10175,5.382018,3.4584036,7.4666142,2.293589
10176,8.037958,3.6394045,7.7846713,2.8827307
10177,6.459103,3.4229403,7.596398,3.1453943
10178,6.9723287,3.4323816,7.5127597,3.4124012
10179,6.7696695,3.373471,7.4861684,3.1147063
10180,6.627466,3.5260391,8.185883,3.06462
10181,4.4609756,3.6276999,9.746315,3.3615427
10182,6.6840844,3.791617,7.991068,2.5131364
10183,6.375697,3.540281,7.13221,2.963878
10184,6.7595773,3.5518367,7.6747403,2.3545399
10185,7.232871,3.423416,7.9701715,2.7508504
10186,6.7902,3.609324,7.7191916,2.6328604
10187,7.4668584,3.67743,7.7035184,2.7334006
10188,8.249263,3.510949,7.413197,2.2384596
10189,5.675539,3.0332913,7.9679327,2.3198328
10190,8.360079,3.7917657,8.722363,3.2171638
10191,7.421344,3.472666,7.239203,2.985151
