id,hhb,hbo2,ca,na
10000,6.954039,3.411491,8.232288,2.8108394
10001,6.842267,3.4769201,7.4151683,2.2614264
10002,8.338118,3.6258614,8.067092,2.890503
10003,6.942933,3.5535953,8.966124,2.793346
10004,6.409315,3.5223587,8.376665,3.4960291
10005,7.077116,3.4311247,8.211424,2.4019995
10006,6.624296,3.3719997,8.090114,2.3704453
10007,8.246923,3.9681134,8.310799,2.6100385
10008,6.4202027,3.4067523,7.1652455,2.860742
10009,7.229931,3.5966947,7.686382,2.3962178
10010,5.8590302,2.785573,8.483648,2.6943722
10011,6.1966014,3.268806,4.92064,3.204886
10012,7.081203,3.6259017,7.2213435,2.4833884
10013,7.425903,3.5913744,7.712926,2.3269472
10014,7.717731,3.7124662,6.8624697,2.029883
10015,6.591874,3.5053222,6.8868575,3.089727
10016,7.2981668,3.475012,8.133141,2.7607749
10017,7.5705347,3.5203102,7.9814386,2.2109492
10018,6.7645516,3.4530315,7.7483454,2.3305736
10019,6.853816,3.570792,7.3964653,2.0706763
10020,7.2976093,3.4105926,7.9042153,2.7238429
10021,8.494424,3.8199759,8.827584,2.2514925
10022,7.5247707,3.6483781,7.70656,2.5303676
10023,7.2900968,3.6081011,7.567855,2.3065057
10024,7.3831325,3.532832,8.227613,2.9464805
10025,7.4386644,3.3702135,7.559064,2.9737902
10026,7.5799685,3.1327705,6.7458005,2.429997
10027,8.508967,3.944744,8.763715,3.4386876
10028,6.562501,3.5094337,8.016199,2.8795602
10029,6.929965,3.2438164,7.064123,3.5087588
10030,7.626962,3.5639763,7.855611,3.1948109
10031,7.1604247,3.346663,7.9060736,3.285278
10032,7.1442065,3.3125458,7.5915675,2.9235516
10033,7.27384,3.7256403,8.208988,2.587938
10034,7.6300673,3.7003267,8.8519745,2.996542
10035,5.187476,3.2021084,6.680885,2.3430514
10036,7.0620794,3.524617,7.364983,3.207845
10037,6.822222,3.5975614,7.2582846,2.2677383
10038,7.1420116,3.4956372,7.327452,2.9039443
10039,6.9655,3.5154989,8.378036,3.0438216
10040,6.491701,3.2669816,7.7886543,2.8401842
10041,6.8177166,3.495471,8.216664,2.9581194
10042,7.0669684,3.5899396,7.929975,2.3280716
