id,hhb,hbo2,ca,na
10000,6.820261,3.4182034,8.477232,2.8305223
10001,6.8550544,3.4691446,7.412974,2.3546338
10002,8.102819,3.5785694,8.062021,2.8586462
10003,6.9578567,3.518737,8.871563,2.8594759
10004,6.643307,3.501688,8.465363,3.3454673
10005,6.7859216,3.5071278,8.092061,2.3030586
10006,6.6758866,3.365267,8.006767,2.3899448
10007,8.200636,3.9607627,8.432322,2.5798204
10008,6.382875,3.4319727,7.182244,2.6298702
10009,7.322044,3.5903904,7.507043,2.4831505
10010,5.829063,2.8534455,8.342704,2.6074724
10011,6.1844206,3.2079751,5.125947,3.1435766
10012,7.135226,3.576878,7.1325283,2.4817138
10013,7.1909084,3.5830977,7.7552233,2.4109597
10014,7.849572,3.6655736,6.7497544,1.9798198
10015,6.5671635,3.411899,7.036345,3.0616252
10016,7.4178953,3.4036524,7.9015427,2.919651
10017,7.5995584,3.5856628,7.965735,2.1905906
10018,6.8711505,3.443461,7.764028,2.3396096
10019,6.811747,3.590203,7.3140216,2.109036
10020,7.230832,3.4815469,7.7863398,2.7723503
10021,8.435487,3.8002837,8.907367,2.284468
10022,7.4545555,3.619365,7.6969023,2.5745378
10023,7.2204556,3.6190977,7.691687,2.4497337
10024,7.151494,3.5384848,8.160246,2.8682804
10025,7.5295167,3.3531487,7.4219284,3.1176782
10026,7.4347925,3.1996164,7.109927,2.3397195
10027,8.668358,3.906187,9.083566,3.3425176
10028,6.5786595,3.551864,8.042591,2.8065565
10029,6.777463,3.1118658,7.233308,3.286208
10030,7.7289743,3.6024382,7.9191823,3.0663738
10031,7.0957932,3.365325,7.8629904,3.170173
10032,7.274304,3.3931947,7.499203,2.898492
10033,7.0485506,3.7304642,8.210117,2.6416857
10034,7.5953927,3.6891136,8.739339,3.1264977
10035,5.1395288,3.2272336,6.763407,2.3816407
10036,7.2493243,3.5150301,7.270844,3.172376
10037,6.7588577,3.6527073,7.271364,2.240874
10038,7.2204237,3.5109007,7.2013803,2.91487
10039,6.977276,3.534575,8.311637,2.9616995
10040,6.375377,3.3137376,7.7096057,2.8541138
10041,6.8524218,3.5033045,7.87268,3.0992446
10042,7.0855274,3.6493676,7.991509,2.3608541
10043,7.543649,3.6346624,8.011116,3.0692887
10044,6.616321,3.829844,8.902162,2.8243394
10045,6.815303,3.4616385,8.8143,2.749462
10046,5.7797604,3.560547,8.44293,2.794158
10047,6.428046,3.4258816,8.788793,2.8781977
10048,7.0629725,3.3328848,8.617712,2.7164822
10049,7.4910564,3.5472617,8.159264,2.7422488
10050,6.079164,3.4331682,7.813118,1.8729463
10051,6.994277,3.493474,7.190527,2.4687357
10052,8.013936,3.721847,8.45483,2.7311373
10053,6.7867017,3.6794047,8.415169,2.4544158
10054,7.102897,3.6252635,8.224199,2.5795221
10055,5.42919,3.2833228,7.810404,3.4391859
10056,9.181387,4.382701,9.08445,2.7725391
10057,7.4232564,3.5956576,7.9422555,2.3859897
10058,7.254205,3.561117,8.571957,2.938341
10059,7.146977,3.1940365,7.2374835,3.6616912
10060,7.3880973,3.3489175,7.6277695,2.7835286
10061,6.184988,3.513878,7.400613,1.7751814
10062,6.9789996,3.4323466,7.540831,3.305945
10063,8.732189,3.8547273,8.101314,2.8872728
10064,7.2164297,3.6126974,7.3383255,2.869579
10065,7.214173,3.6287174,7.808364,2.5480385
10066,6.924508,3.6515453,7.5989366,2.8390892
10067,8.289138,3.4603007,6.5629916,2.5993752
10068,8.163147,3.546305,8.975113,2.779513
10069,7.226939,3.6333306,8.009323,2.5077195
10070,6.484241,3.5648448,7.646751,2.5961397
10071,4.519315,3.5628262,8.941235,3.510272
10072,5.6998987,3.3300977,9.745423,3.0981727
10073,7.685987,3.5745957,7.999118,2.8355126
10074,7.844236,3.4721503,8.558673,3.2203324
10075,8.303071,3.7941923,9.264727,2.0401483
10076,7.17771,3.5963676,9.368769,1.9919301
10077,7.2228765,3.6296315,8.718735,2.2025938
10078,7.1562204,3.4941185,7.312142,3.295982
10079,5.8503685,3.4468532,8.570393,2.255355
10080,6.9339237,3.54362,8.026146,2.5365603
10081,6.0942626,3.4726248,7.369969,2.0787935
10082,6.8217826,3.6793838,8.045637,2.6541064
10083,6.3425055,3.4596643,8.601954,2.0254948
10084,6.4864197,3.3811214,7.081001,3.5608509
10085,7.757171,3.6070292,6.242818,4.0696197
10086,9.291176,3.3259883,6.898308,2.8190467
10087,7.7911735,3.620809,6.626263,3.1632328
10088,6.8425407,3.5447643,7.8696485,2.8402224
10089,7.015873,3.460943,7.2688437,2.2440727
10090,7.4278016,3.570977,7.551091,2.5214741
10091,3.392302,2.885928,7.076832,2.2813373
10092,4.0886025,2.9408607,8.317535,1.16006
10093,4.3061733,3.244314,6.8782597,1.7814277
10094,5.5566626,3.3070645,6.512132,2.0189333
10095,6.872653,3.4728281,8.026854,2.2734542
10096,5.4361687,3.3738043,8.564627,2.529369
10097,6.7697797,3.5072238,7.9004183,3.3842268
10098,9.661322,3.8920434,8.63771,2.6993084
10099,7.762271,3.6613297,8.403889,2.5850575
10100,6.344384,3.552339,7.360205,2.879612
10101,6.0272236,3.5369217,8.691202,2.2991426
10102,1.5462404,2.7293828,6.8261175,2.2010436
10103,6.305526,3.5774071,8.328903,2.6539602
10104,3.887545,3.1690645,6.524232,0.9322823
10105,7.673316,3.5977824,7.9497623,2.360825
10106,7.459584,3.6623077,9.622554,3.0035996
10107,6.6050997,3.439438,7.272147,2.0351274
10108,7.239499,3.5655148,7.691881,2.6106694
10109,6.9700637,3.6562555,8.647242,3.06964
10110,8.448783,3.8271906,9.505519,1.8530654
10111,9.054905,3.8057997,7.9377847,3.0783398
10112,8.058465,3.9795198,8.078504,3.0579326
10113,7.135665,3.5320568,8.16308,2.6530776
10114,5.9803386,3.3409386,7.0451016,2.3103962
10115,7.1638384,3.4810023,6.5802784,2.794063
10116,7.1131077,3.3793447,6.1116533,2.2013016
10117,6.4065394,3.331078,8.439293,2.4279518
10118,7.2731905,3.456434,7.0414157,2.4979448
10119,7.6406984,3.364251,7.7794147,2.900842
10120,5.9917703,3.3823318,8.637494,2.603563
10121,6.5401864,3.5589507,8.168406,2.6337736
10122,6.468258,3.6733754,7.997912,2.302888
10123,3.629065,2.8702173,6.727741,2.156258
10124,6.9017067,3.4641945,8.6806555,2.7672083
10125,5.774657,3.2981672,6.6166058,4.037449
10126,4.793733,3.2215767,6.0525713,2.5817163
10127,5.873959,3.5840557,8.540159,2.9615512
10128,6.914305,3.6965888,7.5844483,2.6459076
10129,6.680394,3.3680768,8.263073,2.401925
10130,5.0101967,3.2930799,7.5596824,3.0958116
10131,5.8827868,3.6094654,9.344806,2.1242018
10132,5.4296174,3.3542187,8.207567,2.4097152
10133,7.5664406,3.6272135,7.497592,2.6337326
10134,7.02297,3.4652295,7.081578,2.4032536
10135,6.7092066,3.4276826,7.457302,3.0235207
10136,9.47308,3.8876522,8.831104,2.7402146
10137,8.312111,3.5641234,7.5653644,2.0775273
10138,6.6203985,3.4047344,7.5462866,2.64856
10139,8.037081,3.7507744,8.467711,1.6413186
10140,6.184638,3.2798152,7.5350676,2.4115458
10141,3.0708716,3.1600034,4.2568583,2.3929963
10142,6.1211147,3.28277,6.5312033,2.6916647
10143,6.677264,3.4842763,7.7750483,2.4921055
10144,6.781251,3.5136607,8.022044,2.4829493
10145,6.4225445,3.5436544,8.210646,2.7774935
10146,7.355903,3.5933557,7.9097977,2.8995082
10147,7.636472,3.5024219,7.378561,2.6460433
10148,5.658684,3.499205,6.3766513,3.0622416
10149,8.758979,3.3586156,7.3090577,3.066389
10150,7.578545,3.4277127,7.7962837,2.9142153
10151,5.613281,3.3780878,8.308907,2.3491654
10152,5.6602025,3.5093064,7.9674153,2.162088
10153,6.850347,3.3542511,7.3678885,2.6911771
10154,7.0145288,3.4968982,8.033968,2.64422
10155,5.370134,3.2811449,7.4326267,2.2839465
10156,6.8906746,3.5744145,7.7176824,2.6784377
10157,6.2361584,3.498568,8.052786,2.8163943
10158,5.4193273,3.344531,8.362587,3.4460838
10159,7.0478253,3.440326,7.7713785,2.1707058
10160,6.504166,3.6327984,7.9328737,2.8541546
10161,7.1666117,3.621837,7.402181,3.1348221
10162,7.4315047,3.8174791,8.052332,2.6256454
10163,6.847903,3.4682946,7.823814,3.3808553
10164,6.8939953,3.5892773,7.935671,2.8914962
10165,6.4341335,3.4066863,7.78771,3.3347733
10166,8.066532,3.4791873,7.844381,3.0540278
10167,8.296869,3.8861213,8.880003,2.7432148
10168,7.292025,3.7563605,7.1321597,1.8935251
10169,8.49567,3.606764,7.4151144,3.1392384
10170,6.3317423,3.4814527,8.83776,2.6530132
10171,8.668413,3.5168447,8.5359,2.8592591
10172,6.3197417,3.547179,8.347853,2.693121
10173,6.501403,3.5879517,8.607001,2.3396335
10174,6.679863,3.361879,8.042362,2.4974036
10175,5.4660406,3.4869719,7.3626475,2.2967486
10176,7.8980665,3.6552947,7.944395,2.9249184
10177,6.7807713,3.4817598,7.426397,2.8985827
10178,6.754399,3.4448833,7.479959,3.2687676
10179,6.9035206,3.368149,7.8821397,2.938426
10180,6.741643,3.4962208,8.200759,2.927255
10181,4.4754605,3.6514585,9.491862,3.3125339
10182,6.7506537,3.7701373,8.059362,2.4724455
10183,6.3408866,3.546853,7.0386605,3.0133545
10184,6.597074,3.5051496,7.650569,2.4205127
10185,7.0435658,3.4777968,8.175638,2.7117538
10186,6.9687347,3.6395829,7.645837,2.5907319
10187,7.581721,3.592226,7.5877666,2.570028
10188,8.114561,3.484542,7.468061,2.2178059
10189,5.495031,3.1428227,7.8952546,2.237059
10190,8.417876,3.8017046,8.731661,3.1336327
10191,7.551996,3.4934518,7.095889,2.7512085
10192,6.738926,3.529805,7.988596,2.5001795
10193,7.4378633,3.524962,7.2450027,3.224927
10194,7.202032,3.227527,5.1482377,2.5115068
10195,8.012961,3.6425514,8.224531,2.7353194
10196,8.218565,3.6647713,8.055107,2.7572205
10197,8.913966,3.843618,8.761673,3.2536685
10198,4.476651,3.3747647,8.5187025,2.2788363
10199,5.89484,3.4314785,7.267448,2.2983453
10200,5.721734,3.2890577,8.02135,2.4470048
10201,6.284266,3.5267086,8.746845,2.2563882
10202,6.8503184,3.505324,8.457887,1.9205223
10203,6.9608245,3.1536217,7.7916946,2.776161
10204,7.491639,3.5616972,7.7328644,3.6326184
10205,6.3213863,3.6977909,9.519531,1.9661264
10206,7.792616,3.5759654,7.4082046,2.3007708
10207,7.0606527,3.4315913,7.855344,2.1960545
10208,6.9979577,3.3990514,8.510877,2.134059
10209,6.824665,3.3577964,7.960757,3.0154977
10210,6.8509393,2.9908512,8.282621,2.605055
10211,7.141813,3.4868815,7.6963058,2.823172
10212,6.8157206,3.4979014,7.4066687,2.7923012
10213,8.501164,3.7101014,8.338763,3.1054726
10214,6.482099,3.6221406,8.276573,3.0980725
10215,6.3224826,3.5640814,9.075847,2.8288028
10216,7.602628,3.6339912,8.355555,2.4781094
10217,7.0510964,3.5938554,7.346036,2.488522
10218,7.079589,3.5059297,8.399938,3.4885309
10219,7.8062696,3.5551834,7.213428,3.3439088
10220,9.972322,4.0490294,8.621542,3.127403
10221,7.125103,3.394462,7.766315,2.629442
10222,9.340391,4.1833344,8.803915,2.9963882
10223,7.797946,3.524757,8.488319,2.6826897
10224,7.3597565,3.4913952,7.776518,2.5542858
10225,6.4356675,3.3324568,7.1867547,2.7116418
10226,7.9917665,3.7486544,8.443344,3.1655862
10227,6.3527703,3.6241071,8.084243,3.473158
10228,6.4399595,3.46665,7.4288516,3.4369047
10229,6.45832,3.486141,7.52573,2.5989256
10230,8.744885,3.2814848,7.5514264,2.1173692
10231,7.4216175,3.646124,7.4388685,2.4276247
10232,7.3504806,3.643425,7.9865727,2.396543
10233,7.466759,3.6377816,8.492642,2.0884924
10234,6.554639,3.3829114,8.481935,3.003789
10235,6.7822924,3.5922694,7.5102644,2.740962
10236,7.204757,3.7175992,7.8136063,2.2527852
10237,6.5330544,3.480302,8.262787,3.0539322
