id,X,Y,M,V
2800,116.7664671,-81.73652695,102.3203593,0.654491018
2801,-160.6635071,-47.86729858,91.23222749,0.547867299
2802,9.711286089,147.5065617,89.63254593,0.584251969
2803,-160.6635071,-47.86729858,91.23222749,0.547867299
2804,175.4901961,-26.96078431,99.50980392,0.568627451
2805,-0.943396226,-166.0377358,98.3490566,0.596226415
2806,-7.01754386,269.7368421,125.9868421,0.795614035
2807,116.7664671,-81.73652695,102.3203593,0.654491018
2808,116.7664671,-81.73652695,102.3203593,0.654491018
2809,175.4901961,-26.96078431,99.50980392,0.568627451
2810,-104.3227666,0.864553314,114.4092219,0.591930836
2811,175.4901961,-26.96078431,99.50980392,0.568627451
2812,-7.01754386,269.7368421,125.9868421,0.795614035
2813,-0.943396226,-166.0377358,98.3490566,0.596226415
2814,-4.662004662,-174.1258741,84.90675991,0.513752914
2815,175.4901961,-26.96078431,99.50980392,0.568627451
2816,-4.662004662,-174.1258741,84.90675991,0.513752914
2817,-160.6635071,-47.86729858,91.23222749,0.547867299
2818,-0.943396226,-166.0377358,98.3490566,0.596226415
2819,175.4901961,-26.96078431,99.50980392,0.568627451
2820,116.7664671,-81.73652695,102.3203593,0.654491018
2821,-4.662004662,-174.1258741,84.90675991,0.513752914
2822,-104.3227666,0.864553314,114.4092219,0.591930836
2823,-4.662004662,-174.1258741,84.90675991,0.513752914
2824,116.7664671,-81.73652695,102.3203593,0.654491018
2825,-4.662004662,-174.1258741,84.90675991,0.513752914
2826,-7.01754386,269.7368421,125.9868421,0.795614035
2827,-7.01754386,269.7368421,125.9868421,0.795614035
2828,-104.3227666,0.864553314,114.4092219,0.591930836
2829,-160.6635071,-47.86729858,91.23222749,0.547867299
2830,116.7664671,-81.73652695,102.3203593,0.654491018
2831,9.711286089,147.5065617,89.63254593,0.584251969
2832,-160.6635071,-47.86729858,91.23222749,0.547867299
2833,-160.6635071,-47.86729858,91.23222749,0.547867299
2834,116.7664671,-81.73652695,102.3203593,0.654491018
2835,116.7664671,-81.73652695,102.3203593,0.654491018
2836,9.711286089,147.5065617,89.63254593,0.584251969
2837,175.4901961,-26.96078431,99.50980392,0.568627451
2838,-160.6635071,-47.86729858,91.23222749,0.547867299
2839,9.711286089,147.5065617,89.63254593,0.584251969
2840,9.711286089,147.5065617,89.63254593,0.584251969
2841,-4.662004662,-174.1258741,84.90675991,0.513752914
2842,-7.01754386,269.7368421,125.9868421,0.795614035
2843,-160.6635071,-47.86729858,91.23222749,0.547867299
2844,116.7664671,-81.73652695,102.3203593,0.654491018
2845,-4.662004662,-174.1258741,84.90675991,0.513752914
2846,175.4901961,-26.96078431,99.50980392,0.568627451
2847,175.4901961,-26.96078431,99.50980392,0.568627451
2848,-160.6635071,-47.86729858,91.23222749,0.547867299
2849,-4.662004662,-174.1258741,84.90675991,0.513752914
2850,-4.662004662,-174.1258741,84.90675991,0.513752914
2851,175.4901961,-26.96078431,99.50980392,0.568627451
2852,-4.662004662,-174.1258741,84.90675991,0.513752914
2853,-4.662004662,-174.1258741,84.90675991,0.513752914
2854,-160.6635071,-47.86729858,91.23222749,0.547867299
2855,-160.6635071,-47.86729858,91.23222749,0.547867299
2856,116.7664671,-81.73652695,102.3203593,0.654491018
2857,116.7664671,-81.73652695,102.3203593,0.654491018
2858,175.4901961,-26.96078431,99.50980392,0.568627451
2859,175.4901961,-26.96078431,99.50980392,0.568627451
2860,-160.6635071,-47.86729858,91.23222749,0.547867299
2861,-104.3227666,0.864553314,114.4092219,0.591930836
2862,116.7664671,-81.73652695,102.3203593,0.654491018
2863,116.7664671,-81.73652695,102.3203593,0.654491018
2864,116.7664671,-81.73652695,102.3203593,0.654491018
2865,175.4901961,-26.96078431,99.50980392,0.568627451
2866,9.711286089,147.5065617,89.63254593,0.584251969
2867,-104.3227666,0.864553314,114.4092219,0.591930836
2868,175.4901961,-26.96078431,99.50980392,0.568627451
2869,-0.943396226,-166.0377358,98.3490566,0.596226415
2870,-160.6635071,-47.86729858,91.23222749,0.547867299
2871,116.7664671,-81.73652695,102.3203593,0.654491018
2872,-4.662004662,-174.1258741,84.90675991,0.513752914
2873,-160.6635071,-47.86729858,91.23222749,0.547867299
2874,-0.943396226,-166.0377358,98.3490566,0.596226415
2875,-160.6635071,-47.86729858,91.23222749,0.547867299
2876,-4.662004662,-174.1258741,84.90675991,0.513752914
2877,9.711286089,147.5065617,89.63254593,0.584251969
2878,-160.6635071,-47.86729858,91.23222749,0.547867299
2879,-0.943396226,-166.0377358,98.3490566,0.596226415
2880,175.4901961,-26.96078431,99.50980392,0.568627451
2881,-4.662004662,-174.1258741,84.90675991,0.513752914
2882,-4.662004662,-174.1258741,84.90675991,0.513752914
2883,175.4901961,-26.96078431,99.50980392,0.568627451
2884,-7.01754386,269.7368421,125.9868421,0.795614035
2885,-104.3227666,0.864553314,114.4092219,0.591930836
2886,116.7664671,-81.73652695,102.3203593,0.654491018
2887,116.7664671,-81.73652695,102.3203593,0.654491018
2888,9.711286089,147.5065617,89.63254593,0.584251969
2889,-4.662004662,-174.1258741,84.90675991,0.513752914
2890,-4.662004662,-174.1258741,84.90675991,0.513752914
2891,-4.662004662,-174.1258741,84.90675991,0.513752914
2892,-104.3227666,0.864553314,114.4092219,0.591930836
2893,116.7664671,-81.73652695,102.3203593,0.654491018
2894,-104.3227666,0.864553314,114.4092219,0.591930836
2895,-104.3227666,0.864553314,114.4092219,0.591930836
2896,116.7664671,-81.73652695,102.3203593,0.654491018
2897,116.7664671,-81.73652695,102.3203593,0.654491018
2898,116.7664671,-81.73652695,102.3203593,0.654491018
2899,175.4901961,-26.96078431,99.50980392,0.568627451
2900,-160.6635071,-47.86729858,91.23222749,0.547867299
2901,-104.3227666,0.864553314,114.4092219,0.591930836
2902,-104.3227666,0.864553314,114.4092219,0.591930836
2903,-160.6635071,-47.86729858,91.23222749,0.547867299
