id,X,Y,M,V
2800,-41.5,-140,85.1875,0.755833333
2801,-66,-49.5,124.125,0.442
2802,-79.79901961,-6.818627451,89.14307598,0.554585784
2803,-64.5,35.5,59.54166667,0.372666667
2804,231.5,148.5,85.125,0.604
2805,107,-330.5,104.375,0.692
2806,-352.5,277.5,156,0.729
2807,-17.9,-83.55,67.853125,0.82095
2808,176,-51,96.5,0.676
2809,322.5,-73.5,138.25,0.386
2810,-88.5,157,116.75,0.878
2811,210,90,120.75,0.283
2812,70.01818182,244.1375,79.63129058,0.822280195
2813,96,-60.5,81,0.357
2814,65,-236.5,92.25,0.451
2815,159.5,-76.5,135.75,0.524
2816,2,-201,71.41071429,0.540714286
2817,-183.5,-110.5,130.875,0.422
2818,-3.5,-280.5,102.875,0.767
2819,148,-12,131.375,0.581
2820,68.5,-27.875,57.26041667,0.851083333
2821,3.005952381,-151.25,77.94642857,0.221
2822,-39.47956561,2.170840761,52.82218397,0.404280206
2823,121,-111,79.875,0.658
2824,361,-108,122.875,0.599
2825,-6.333333333,-115,78.08333333,0.529833333
2826,13.71428571,59.28571429,109.3303571,0.664357143
2827,19.26731602,7.74025974,109.5794102,0.706228355
2828,-212.5,263,118.375,0.705
2829,-344.5,-95,54.75,0.470166667
2830,-46.36363636,-56.28787879,112.0274621,0.584113636
2831,-149,280,121.25,0.652
2832,-68.42857143,-37,64,0.515095238
2833,-208.5,121,123.375,0.657
2834,-103,-1.5,91.30952381,0.812547619
2835,-166.5,-194,84.875,0.698
2836,-144,130,87.28125,0.57
2837,105.5,-87,108,0.425
2838,-231.5,-126.5,93.5,0.423
2839,-20.81119691,113.6773342,61.53932301,0.491525562
2840,245.325,214.8416667,98.64895833,0.429783333
2841,11,-216.5,67.92857143,0.64552381
2842,38,336.5,118,0.772
2843,-140.1,-109.9,111.125,0.356
2844,267,-20,130.8333333,0.402
2845,11.69444444,-65,65.28472222,0.267055556
2846,165.5,7.5,89.5,0.272
2847,69.5,25.5,112.875,0.611
2848,-146.5,-165,127.25,0.348
2849,-137.5,-261,86.125,0.499
2850,130.5,-297.5,71.25,0.297
2851,101.5,-45,98.625,0.6805
2852,91.7031746,-170.0166667,85.13333333,0.235388889
2853,48.5,-253,83.375,0.315
2854,-138.5,-156.5,115.375,0.431
2855,-278.5,-6.5,95.125,0.641
2856,-199.5,-261,122.125,0.7033
