id,S1,S2,S3,S4
0,-308.3045527176438,-308.3045527176438,1119.5047193722571,1410.5028934112806
1,12780.176893142183,981.77877986793,7953.031214045527,-15584.755220648001
2,-674.2896275348118,-1575.6819383096795,137.43022808057307,-407.0923402448256
3,2164.2169805403573,-11274.728588555907,-4221.738240477023,5241.350867445274
4,-980.4805848167803,-6966.912566273592,-2555.746810061936,5596.931286595751
5,-7069.041312926626,6985.31368112346,1237.3643867381345,7507.2053542463555
6,-1196.834497888602,-1939.5396817135831,812.1411729543395,-968.2644222462366
7,-823.2485219040361,-3602.3546323709743,-4464.96404691761,4639.636496499544
8,-14724.210400403023,-693.2967438968973,-9800.495544539717,6396.863157077879
9,-4173.096196704893,-9857.567832095363,-6544.976851072962,6014.853872387273
10,2332.3157016795085,-4083.3811263257157,-1265.784334729272,-341.52670167720254
11,-309.7182333370285,-309.7182333370285,71.36093622454457,-271.84077778363246
12,-516.7936176118088,-790.2323574729082,-1194.5563046833336,291.00394378158177
13,-1738.411889010579,5312.0171977577265,-7421.0355523663675,4470.195199446184
14,8051.595098176261,-634.7923771627877,7219.388619072114,-13190.436825240044
15,-1096.0514462891467,-5297.692553915243,-4349.866927819775,6561.589121865693
16,-5989.754755646199,10670.20460792639,-2776.6396398679667,5768.8252836840265
17,2634.065589616593,-6510.3123230647325,-338.2809156861226,1392.1766338294035
18,-3941.7371052023273,1503.436116163486,1780.6182944007003,-409.4093452961333
19,1699.82339042467,5384.562896609086,6518.442771652819,-226.04822499209845
20,1296.1690587200198,-867.3895936683776,-1365.7238323938925,681.4861022149913
21,742.8232315450832,658.9132954496193,-537.1631347648588,-1420.3006881715758
22,-3121.8349648647018,1148.8889395817619,-1247.2318486681288,-3367.6410201035155
23,-2493.9507682659114,-3584.825404527624,-4866.931128923641,-3229.0509199789612
24,6031.248967848865,-3870.092200985323,2794.0913490629146,-5400.489732503341
25,783.4488479633902,-188.7065010671229,-1247.0197263898292,-926.1670232589054
26,-2090.350273642288,-403.1216716347899,-1495.4825146584856,-389.76033257454884
27,257.75962630086747,-523.0682129000461,-126.93271646449558,-124.75388708880321
28,-1173.7197209452022,7802.6676480899405,-369.8952893280277,3676.7080475547896
29,-6730.393091783269,-2647.467844995384,-2766.0305006822764,878.3146733466241
30,3400.1542940794743,22.088286655833983,232.15454515326715,-968.2068866686618
31,-530.0259353725012,-1053.8202692666284,-2572.976691479394,-637.922791211938
32,-7918.904970970015,3720.9244437268785,-988.5265344549816,-1445.465672082932
33,5429.8816404252475,-2973.270900154267,10038.050477709714,-5028.591527265448
34,-1149.470330521042,1010.6820572913913,-3324.622178880363,-1154.295749787548
35,-1263.953637668595,-5288.533646122039,-2738.9794702921204,6226.167843085603
36,-8644.77075665725,-8644.77075665725,5478.40193780244,-8976.327798621911
37,-7043.009473314132,-2166.9087956519547,2281.0977938221745,-1248.710054290179
38,-1575.6819383096795,-674.2896275348118,137.43022808057307,-407.0923402448256
39,-529.0865868484677,-1507.0016823109736,-5005.92402980958,-2549.280034009618
40,5696.828250263999,5223.80225899962,-2438.929840545255,-6807.238422184553
41,5312.0171977577265,-1738.411889010579,-7421.0355523663675,4470.195199446184
42,14537.245379545693,-5830.184451686629,-19168.22354099119,-14871.38015381909
43,11.5499698342386,9796.628442728404,14808.039324380095,-5388.672694034318
44,1627.4755715526333,1627.4755715526333,-830.7358061608163,1674.9231639161364
45,-2731.5351868305547,-2731.5351868305547,-1802.6060336674643,1794.3347925650505
46,11449.797550231979,-5500.860748866943,-13954.832155343722,-11553.980679165517
47,-622.6060985368923,-200.5575188118725,2275.252193043679,-1156.9522523701883
48,1591.6936533466708,-1371.9904072260597,-1044.7578602225294,-1033.7394126885015
49,51.316815557504555,-2092.277961536336,-1010.3157445024045,681.9871959966072
50,11595.491500979944,5300.65563121708,3041.5934455950332,-5259.156806999612
51,1013.7249249298686,-1712.3741662221369,-577.5581177135518,-666.2082433255695
52,-15121.791679364494,-6608.158418470539,-11129.21996264428,8955.403290241682
53,4781.977962122137,4781.977962122137,5285.422612197428,13780.429162729479
54,-2847.6519676711405,3254.2373061042053,-59.5199929945756,2313.265417815436
55,290.9718020694516,-1084.0644323420713,-925.0009645793782,-545.9341972919643
56,3283.5276576031306,-1105.0442773605203,-1002.3753383034415,-2966.0967506208726
